Congruent Elliptic curves rank 5.
Here "m" is the product of "j>1" primes.
               
n                      m (j=2,3)   y         x  (x+y)          
237195512400            7·127      464     561   1025
10280171942040         37·67       741    2024   2765
81096660783600         37·103      2139   2261   4400
5117352889729080       67·223      1551  14105  15656
281692457452791000     79·409      9064  26811  35875

8813542297560           7·13·37    232    3245   3477
457485316904280         7·31·37    895    7544   8439
225722120463840        13·19·31    505    7392   7897
24666188870481576600   13·31·223   46169 57400 103569


