

Examples
Form XYW and integral Heegner points
(C)2023. Simon Aranda


Example-01
Obs: 
1- Many H points have x-coord >0, H is XYW::[w, w*y].
2- Values "y" are constrained. See doc.
Keys:
n< 100, C[n] rank one.
Integral Heegner point.
One concrete/selected form XYW(n)

 n  Heegner          X    Y      W    core(n)
--  --------------  ----------------- --------
 6  [12,   36]      03..[ 3 ]..  12     
15  [25,   100]     09..[ 4 ]..  25
20  [25,   75]      16..[ 3 ]..  25   20 5 4
24  [48,   288]     12..[ 6 ]..  48   24 6 4
30  [150,  1800]    06..[ 12 ].. 150  
54  [108,  972]     27..[ 9 ]..  108  54 6 9
60  [100,  800]     36..[ 8 ]..  100  60 15 4
70  [245,  3675]    20..[ 15 ].. 245
78  [2028, 91260]   03..[ 45 ].. 2028
80  [100,  600]     64..[ 6 ]..  100  80 5 16
84  [112,  784]     63..[ 7 ]..  112  84 21 4
96  [192,  2304]    48..[ 12 ].. 192  96 6 16


Example-02
n< 1000, sorted by "y" value.
keys: "y", "n": Point::form xyw.

3 6: [12, 36] :: 3..[ 3]..12
3 20: [25, 75] :: 16..[ 3]..25
4 15: [25, 100] :: 9..[ 4]..25
5 156: [169, 845] :: 144..[ 5]..169
6 24: [48, 288] :: 12..[ 6]..48
6 80: [100, 600] :: 64..[ 6]..100
7 84: [112, 784] :: 63..[ 7]..112
8 60: [100, 800] :: 36..[ 8]..100

8 126: [-98, 784] :: 98..[ 8]..162

8 255: [289, 2312] :: 225..[ 8]..289
9 54: [108, 972] :: 27..[ 9]..108
9 180: [225, 2025] :: 144..[ 9]..225
10 624: [676, 6760] :: 576..[ 10]..676
12 30: [150, 1800] :: 6..[ 12]..150
12 96: [192, 2304] :: 48..[ 12]..192
12 135: [225, 2700] :: 81..[ 12]..225
12 320: [400, 4800] :: 256..[ 12]..400
12 429: [507, 6084] :: 363..[ 12]..507
14 336: [448, 6272] :: 252..[ 14]..448
15 70: [245, 3675] :: 20..[ 15]..245
15 150: [300, 4500] :: 75..[ 15]..300

15 462: [-363, 5445] :: 363..[ 15]..588

15 500: [625, 9375] :: 400..[ 15]..625
16 240: [400, 6400] :: 144..[ 16]..400

16 504: [-392, 6272] :: 392..[ 16]..648

18 216: [432, 7776] :: 108..[ 18]..432
18 720: [900, 16200] :: 576..[ 18]..900
20 375: [625, 12500] :: 225..[ 20]..625
20 990: [1210, 24200] :: 810..[ 20]..1210
21 294: [588, 12348] :: 147..[ 21]..588
21 756: [1008, 21168] :: 567..[ 21]..1008
21 980: [1225, 25725] :: 784..[ 21]..1225
24 120: [600, 14400] :: 24..[ 24]..600
24 384: [768, 18432] :: 192..[ 24]..768
24 540: [900, 21600] :: 324..[ 24]..900
24 741: [1083, 25992] :: 507..[ 24]..1083
27 486: [972, 26244] :: 243..[ 27]..972
28 231: [847, 23716] :: 63..[ 28]..847
28 735: [1225, 34300] :: 441..[ 28]..1225
30 280: [980, 29400] :: 80..[ 30]..980
30 600: [1200, 36000] :: 300..[ 30]..1200
32 960: [1600, 51200] :: 576..[ 32]..1600
33 726: [1452, 47916] :: 363..[ 33]..1452
35 444: [1369, 47915] :: 144..[ 35]..1369
36 270: [1350, 48600] :: 54..[ 36]..1350
36 864: [1728, 62208] :: 432..[ 36]..1728
40 390: [1690, 67600] :: 90..[ 40]..1690
45 78: [2028, 91260] :: 3..[ 45]..2028
45 630: [2205, 99225] :: 180..[ 45]..2205
48 480: [2400, 115200] :: 96..[ 48]..2400
56 924: [3388, 189728] :: 252..[ 56]..3388
60 190: [3610, 216600] :: 10..[ 60]..3610
60 671: [3721, 223260] :: 121..[ 60]..3721
60 750: [3750, 225000] :: 150..[ 60]..3750
80 798: [6498, 519840] :: 98..[ 80]..6498
90 312: [8112, 730080] :: 12..[ 90]..8112
105 470: [11045, 1159725] :: 20..[ 105]..11045
105 966: [11109, 1166445] :: 84..[ 105]..11109
120 760: [14440, 1732800] :: 40..[ 120]..14440
132 759: [17457, 2304324] :: 33..[ 132]..17457
135 702: [18252, 2464020] :: 27..[ 135]..18252

