
L-function

A Heegner point is a image of a quadratic imaginary point of the upper half-plane. The Gross–Zagier Theorem describes the height in terms of a derivative of the "L-function" at the point s=1. As generator point of infinite order, can generate large rational points and the heights of these points were the coefficients of a modular form of weight 3/2. (Wikipedia)


Keys: Only C[n] rank 1, P(x,y),  a: the square, y: xyw(-, y, -)


 n  x  y a y
 5 25 75 2 3
 6 12 36 1 3
 
  7 -63 735 4 -35/3
 13 4225 272935 6 323/5
 14 -98 784 3 -8
 15 25 100 1 4
 20 25 75 1 3
 21 28 98 1 7/2
 22 1100 7260 7 33/5
 23 -406847 245194145 156 -80155/133
 24 48 288 1 6
 28 -63 735 2 -35/3
 29 142129 1082367 70 99/13
 30 150 1800 1 12
 31 -2511 2482263 40 -8897/9
 37 28783225 154421605115 42 777923/145
 38 47500 10071900 17 5301/25
 39 169 845 2 5
 45 225 2025 2 9
 46 -1058 177744 11 -168
 47 -107590943 7010818201135 3816 -98589785/1513
 52 4225 272935 3 323/5
 53 99278557225 24583549770420915 34034 1472112483/5945
 54 108 972 1 9
 55 -484 28314 5 -117/2
 56 -392 6272 3 -16
 60 100 800 1 8
 61 736851025 10643776627535 3198 6428003/445
 62 -1016738 3738059360 249 -84560/23
 63 -567 19845 4 -35
 69 -3887 130663 8 -437/13
 70 245 3675 1 15
 71 -8591 23677577 60 -30317/11
 77 61875 15391200 1 18656/75
 78 2028 91260 1 45
 79 -13189227039 237966025072209 13000 -233126551/12921
 80 100 600 1 6
 84 112 784 1 7
 85 7225 556325 6 77
 86 29068 4903548 7 2193/13
 87 525625 73251100 77 3484/25
 88 4400 58080 7 66/5
 92 -406847 245194145 78 -80155/133
 93 44764 9458162 5 8029/38
 94 -1276802 580419168 121 -7728/17
 95 -1444 1041846 17 -1443/2
 96 192 2304 1 12
==========================================================

