
C[n] curves with some integral point with negative x-coordinate. 
The dual point is attached:

     P(x=-a,y=+b) <-> P( (n^2)/a, ((n^2)*b)/(a^2) )


     n                   x                   y
  ----             -------            --------
     5                  -4                   6
     5                25/4                75/8

     6                  -2                   8
     6                  18                  72
     6                  -3                   9
     6                  12                  36

    15                  -9                  36
    15                  25                 100

    20                 -16                  48
    20                  25                  75

    21                  -3                  36
    21                 147                1764

    24                  -8                  64
    24                  72                 576
    24                 -12                  72
    24                  48                 288

    30                  -6                  72
    30                 150                1800
    30                 -20                 100
    30                  45                 225

    34                  -2                  48
    34                 578               13872
    34                 -16                 120
    34               289/4              4335/8

    39                 -36                  90
    39               169/4               845/8

    41                  -9                 120
    41              1681/9            67240/27

    45                  -5                 100
    45                 405                8100
    45                 -36                 162
    45               225/4              2025/8

    54                 -18                 216
    54                 162                1944
    54                 -27                 243
    54                 108                 972

    56                  -7                 147
    56                 448                9408

    60                 -15                 225
    60                 240                3600
    60                 -36                 288
    60                 100                 800

    65                 -16                 252
    65             4225/16           266175/64
    65                 -25                 300
    65                 169                2028

    70                 -20                 300
    70                 245                3675

    78                  -3                 135
    78                2028               91260

    80                 -64                 384
    80                 100                 600

    84                 -12                 288
    84                 588               14112
    84                 -63                 441
    84                 112                 784

    85                 -36                 462
    85             7225/36          556325/216

    96                 -32                 512
    96                 288                4608
    96                 -48                 576
    96                 192                2304

   102                 -98                 280
   102             5202/49          104040/343

   110                 -11                 363
   110                1100               36300
   110                 -90                 600
   110              1210/9            24200/27

   111                 -36                 630
   111              1369/4             47915/8

   112                 -63                 735
   112              1792/9            62720/27

   120                 -24                 576
   120                 600               14400
   120                 -80                 800
   120                 180                1800

   125                -100                 750
   125               625/4              9375/8

   126                 -98                 784
   126                 162                1296

   135                 -81                 972
   135                 225                2700

   136                  -8                 384
   136                2312              110976
   136                 -64                 960
   136                 289                4335

   145                -100                1050
   145               841/4             17661/8
   145                -144                 204
   145           21025/144         357425/1728

   150                 -50                1000
   150                 450                9000
   150                 -75                1125
   150                 300                4500
   150                -144                 504
   150               625/4              4375/8

   154                 -98                1176
   154                 242                2904

   156                -144                 720
   156                 169                 845

   161                 -63                1176
   161              3703/9           207368/27

   164                 -36                 960
   164              6724/9           537920/27

   174                -150                1080
   174             5046/25          181656/125

   175                 -49                1176
   175                 625               15000

   180                 -20                 800
   180                1620               64800
   180                -144                1296
   180                 225                2025

   189                 -27                 972
   189                1323               47628

   190                 -10                 600
   190                3610              216600
   190                -171                1083
   190              1900/9            36100/27

   194                -144                1560
   194             9409/36          611585/216

   198                  -2                 280
   198               19602             2744280

   210                 -14                 784
   210                3150              176400
   210                 -35                1225
   210                1260               44100
   210                 -84                1764
   210                 525               11025
   210                 -90                1800
   210                 490                9800
   210                -150                1800
   210                 294                3528

   216                 -72                1728
   216                 648               15552
   216                -108                1944
   216                 432                7776

   219                -144                1980
   219             5329/16           293095/64

   221                 -68                1734
   221              2873/4            146523/8
   221                -117                2028
   221              3757/9           195364/27

   224                 -28                1176
   224                1792               75264

   226                 -98                2016
   226            25538/49         3677472/343

   231                 -63                1764
   231                 847               23716
   231                -132                2178
   231              1617/4             53361/8

   240                 -60                1800
   240                 960               28800
   240                -144                2304
   240                 400                6400

   245                -196                2058
   245              1225/4             25725/8

   255                -225                1800
   255                 289                2312

   260                 -64                2016
   260              4225/4            266175/8
   260                -100                2400
   260                 676               16224

   265                -225                2100
   265              2809/9            78652/27

   270                 -54                1944
   270                1350               48600
   270                -180                2700
   270                 405                6075

   280                 -80                2400
   280                 980               29400

   286                 -52                2028
   286                1573               61347
   286                -198                2904
   286              3718/9           163592/27

   291                  -3                 504
   291               28227             4742136

   294                  -6                 720
   294               14406             1728720
   294                 -98                2744
   294                 882               24696
   294                -147                3087
   294                 588               12348

   306                 -18                1296
   306                5202              374544
   306                -144                3240
   306              2601/4            117045/8
   306                -272                2312
   306              1377/4             23409/8

   312                 -12                1080
   312                8112              730080

   313                 -25                1560
   313            97969/25        30566328/125

   320                -256                3072
   320                 400                4800

   325                 -36                1938
   325           105625/36        34116875/216

   330                 -30                1800
   330                3630              217800
   330                -150                3600
   330                 726               17424
   330                -275                3025
   330                 396                4356

   336                 -48                2304
   336                2352              112896
   336                -252                3528
   336                 448                6272

   340                -144                3696
   340              7225/9           556325/27

   351                -324                2430
   351              1521/4             22815/8

   353                -225                4080
   353          124609/225       33893648/3375

   357                 -68                2890
   357              7497/4            637245/8

   366                -363                 891
   366           44652/121        1205604/1331

   369                 -81                3240
   369                1681               67240

   371                -196                4410
   371              2809/4            126405/8

   375                -225                4500
   375                 625               12500

   384                -128                4096
   384                1152               36864
   384                -192                4608
   384                 768               18432

   386                 -98                3696
   386            74498/49        19667472/343

   390                 -90                3600
   390                1690               67600

   405                 -45                2700
   405                3645              218700
   405                -324                4374
   405              2025/4             54675/8

   408                -392                2240
   408            20808/49          832320/343

   410                -400                1800
   410              1681/4             15129/8

   429                -363                4356
   429                 507                6084

   438                -150                5040
   438            31974/25         5371632/125

   440                 -44                2904
   440                4400              290400
   440                -360                4800
   440              4840/9           193600/27

   444                -144                5040
   444                1369               47915

   445                -400                3900
   445             7921/16           308919/64

   448                -252                5880
   448              7168/9           501760/27

   455                -441                2352
   455              4225/9            67600/27

   462                -363                5445
   462                 588                8820

   465                 -15                1800
   465               14415             1729800

   470                 -20                2100
   470               11045             1159725

   480                 -96                4608
   480                2400              115200
   480                -320                6400
   480                 720               14400

   486                -162                5832
   486                1458               52488
   486                -243                6561
   486                 972               26244

   500                -400                6000
   500                 625                9375

   504                 -63                3969
   504                4032              254016
   504                -392                6272
   504                 648               10368

   505                -100                4950
   505             10201/4           1009899/8

   514                 -64                4080
   514            66049/16         16842495/64

   517                -275                7260
   517            24299/25         3207468/125

   525                 -75                4500
   525                3675              220500

   540                -135                6075
   540                2160               97200
   540                -324                7776
   540                 900               21600

   544                 -32                3072
   544                9248              887808
   544                -256                7680
   544                1156               34680

   546                 -42                3528
   546                7098              596232
   546                -350                7840
   546            21294/25         2384928/125
   546                -468                6084
   546                 637                8281
   546                -507                4563
   546                 588                5292

   550                -539                2541
