
The Heeger point
================
Only rank odd curves.
keys: n, P(x,y),  a: square, y: xyw(-, y, -)

  n  x  y a y
A 5 25 75 2 3
A 6 12 36 1 3
A 7 -63 735 4 -35/3
A 13 4225 272935 6 323/5
A 14 -98 784 3 -8
A 15 25 100 1 4
A 20 25 75 1 3
A 21 28 98 1 7/2
A 22 1100 7260 7 33/5
A 23 -406847 245194145 156 -80155/133
A 24 48 288 1 6
A 28 -63 735 2 -35/3
A 29 142129 1082367 70 99/13
A 30 150 1800 1 12
A 31 -2511 2482263 40 -8897/9
A 37 28783225 154421605115 42 777923/145
A 38 47500 10071900 17 5301/25
A 39 169 845 2 5
A 45 225 2025 2 9
A 46 -1058 177744 11 -168
A 47 -107590943 7010818201135 3816 -98589785/1513
A 52 4225 272935 3 323/5
A 53 99278557225 24583549770420915 34034 1472112483/5945
A 54 108 972 1 9
A 55 -484 28314 5 -117/2
A 56 -392 6272 3 -16
A 60 100 800 1 8
A 61 736851025 10643776627535 3198 6428003/445
A 62 -1016738 3738059360 249 -84560/23
A 63 -567 19845 4 -35
A 69 -3887 130663 8 -437/13
A 70 245 3675 1 15
A 71 -8591 23677577 60 -30317/11
A 77 61875 15391200 1 18656/75
A 78 2028 91260 1 45
A 79 -13189227039 237966025072209 13000 -233126551/12921
A 80 100 600 1 6
A 84 112 784 1 7
A 85 7225 556325 6 77
A 86 29068 4903548 7 2193/13
A 87 525625 73251100 77 3484/25
A 88 4400 58080 7 66/5
A 92 -406847 245194145 78 -80155/133
A 93 44764 9458162 5 8029/38
A 94 -1276802 580419168 121 -7728/17
A 95 -1444 1041846 17 -1443/2
A 96 192 2304 1 12
===========================================================

