PQRS Rank. Output.

n   n^2    |Gamma|  |Alpha| Alpha
--- ------ -------  ------- -------------------------------- 
6   36         9      8     [-6, -3, -2, -1, 1, 2, 3, 6]
30  900        27     8     [-30, -6, -5, -1, 1, 5, 6, 30]
60  3600       45     4     [-15, -1, 1, 15]
84  7056       45     8     [-21, -7, -3, -1, 1, 3, 7, 21]
210 44100      81    16     [-210,-35,-21,-15,-14,-10,-6,-1
                              ,1,6,10,14,15,21,35,210]
840 705600     189   16     id. 210



PQRS                Core      Rank
6                   6         1
30                  30        1
60                  15        1
84                  21        1
210                 210       2
840                 210       2
341880              85470     3
71831760            26565     3
64648584000         26565     3
2216650756320       3233230   3
22861058133513600   1254      3

