
C[n]:P(x>0,y) <-> xyw(n^2/x, sqrt(x-(n^2/x) , x)

n   x   y   xyw(x,y,w)
----------------------------------------------------
6: 12, 36   xyw(3, 3, 12)
7: 25, 120   xyw(49/25, 24/5, 25)
14: 18, 48   xyw(98/9, 8/3, 18)
15: 25, 100   xyw(9, 4, 25)
20: 25, 75   xyw(16, 3, 25)
21: 28, 98   xyw(63/4, 7/2, 28)
24: 25, 35   xyw(576/25, 7/5, 25)
28: 100, 960   xyw(196/25, 48/5, 100)
30: 45, 225   xyw(20, 5, 45)
34: 162, 2016   xyw(578/81, 112/9, 162)
39: 975, 30420   xyw(39/25, 156/5, 975)
41: 841, 24360   xyw(1681/841, 840/29, 841)
45: 405, 8100   xyw(5, 20, 405)
46: 242, 3696   xyw(1058/121, 168/11, 242)
54: 108, 972   xyw(27, 9, 108)
56: 72, 384   xyw(392/9, 16/3, 72)
60: 100, 800   xyw(36, 8, 100)
63: 112, 980   xyw(567/16, 35/4, 112)
65: 169, 2028   xyw(25, 12, 169)
69: 1083, 35568   xyw(1587/361, 624/19, 1083)
70: 126, 1176   xyw(350/9, 28/3, 126)
78: 2028, 91260   xyw(3, 45, 2028)
80: 100, 600   xyw(64, 6, 100)
84: 112, 784   xyw(63, 7, 112)
96: 100, 280   xyw(2304/25, 14/5, 100)
102: 5100, 364140   xyw(51/25, 357/5, 5100)
110: 1100, 36300   xyw(11, 33, 1100)
112: 400, 7680   xyw(784/25, 96/5, 400)
119: 169, 1560   xyw(14161/169, 120/13, 169)
120: 169, 1547   xyw(14400/169, 119/13, 169)
125: 1125, 37500   xyw(125/9, 100/3, 1125)
126: 162, 1296   xyw(98, 8, 162)
135: 225, 2700   xyw(81, 12, 225)
136: 153, 867   xyw(1088/9, 17/3, 153)
138: 150, 720   xyw(3174/25, 24/5, 150)
141: 147, 504   xyw(6627/49, 24/7, 147)
